business_name,city,county,state,category,physical_flyer_likelihood,outreach_priority_score,recommended_outreach_action,corporate_policy_risk,public_foot_traffic,digital_distribution_likelihood,review_reason,end_user_warning,municipality_scope,physical_address,phone,website,source_url,source_type,source_scope,verification_status,import_recommendation,notes,deploy_crosscheck,deploy_match_name,deploy_match_id
Super Save Discount Food,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Triole O Auto,Raton,Colfax,NM,unspecified,Medium: ask manager,4,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Triole O Auto,triole-o-auto-colfax-automotive-services
McDonald's,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
R & D Honda,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Pappas' Sweet Shop Restaurant,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Pappas' Sweet Shop Restaurant,pappas-sweet-shop-restaurant-colfax-food-beverage
Cunico Tire Company,Raton,Colfax,NM,unspecified,Medium: ask manager,3,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
A & M Repair Co,Raton,Colfax,NM,unspecified,Medium: ask manager,3,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Records Hardware,Raton,Colfax,NM,unspecified,Medium: ask manager,4,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Records Hardware,records-hardware-colfax-retail-hardware
Denny's,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Home Associates Inc,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
