directory,directory_type,county,state,municipality,municipality_type,query_keyword,candidate_query_url,sweep_priority,current_status,extracted_rows_currently_available,known_total_if_available,use_case,publication_rule,notes
YellowPages.com,large commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.yellowpages.com/raton-nm/business-listings/1,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,183,271,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.yellowpagesdirectory.com/search?q=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.manta.com/search?search=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.merchantcircle.com/search?q=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.cylex.us.com/search/?q=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.hotfrog.com/search/raton-nm,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.brownbook.net/businesses/search?query=Raton+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.chamberofcommerce.com/search?what=&where=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.bbb.org/search?find_country=USA&find_text=Raton+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.tripadvisor.com/Search?q=Raton+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.yelp.com/search?find_desc=&find_loc=Raton+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Raton,incorporated city,Raton NM,https://www.google.com/search?q=Raton+NM+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Raton,incorporated city,Raton NM,https://maps.apple.com/?q=Raton+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Raton,incorporated city,Raton NM,https://www.bing.com/maps?q=Raton+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.yellowpages.com/angel-fire-nm/business-listings/1,1,yp_bulk_page_extracted_complete_from_accessible_page,78,84,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.yellowpagesdirectory.com/search?q=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.manta.com/search?search=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.merchantcircle.com/search?q=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.cylex.us.com/search/?q=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.hotfrog.com/search/angel-fire-nm,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.brownbook.net/businesses/search?query=Angel+Fire+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.chamberofcommerce.com/search?what=&where=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.bbb.org/search?find_country=USA&find_text=Angel+Fire+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.tripadvisor.com/Search?q=Angel+Fire+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.yelp.com/search?find_desc=&find_loc=Angel+Fire+NM,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.google.com/search?q=Angel+Fire+NM+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://maps.apple.com/?q=Angel+Fire+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.bing.com/maps?q=Angel+Fire+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.yellowpages.com/cimarron-nm,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,12,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.yellowpagesdirectory.com/search?q=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.manta.com/search?search=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.merchantcircle.com/search?q=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.cylex.us.com/search/?q=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
