directory,directory_type,county,state,municipality,municipality_type,query_keyword,candidate_query_url,sweep_priority,current_status,extracted_rows_currently_available,known_total_if_available,use_case,publication_rule,notes
YellowPages.com,large commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.yellowpages.com/raton-nm/business-listings/1,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,183,271,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.yellowpagesdirectory.com/search?q=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.manta.com/search?search=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.merchantcircle.com/search?q=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.cylex.us.com/search/?q=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Raton,incorporated city,Raton NM,https://www.chamberofcommerce.com/search?what=&where=Raton+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.yellowpages.com/angel-fire-nm/business-listings/1,1,yp_bulk_page_extracted_complete_from_accessible_page,78,84,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.yellowpagesdirectory.com/search?q=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.manta.com/search?search=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.merchantcircle.com/search?q=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.cylex.us.com/search/?q=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Angel Fire,incorporated village / resort municipality,Angel Fire NM,https://www.chamberofcommerce.com/search?what=&where=Angel+Fire+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.yellowpages.com/cimarron-nm,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,12,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.yellowpagesdirectory.com/search?q=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.manta.com/search?search=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.merchantcircle.com/search?q=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.cylex.us.com/search/?q=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Cimarron,incorporated village,Cimarron NM,https://www.chamberofcommerce.com/search?what=&where=Cimarron+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.yellowpages.com/eagle-nest-nm,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,3,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.yellowpagesdirectory.com/search?q=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.manta.com/search?search=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.merchantcircle.com/search?q=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.cylex.us.com/search/?q=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Eagle Nest,incorporated village,Eagle Nest NM,https://www.chamberofcommerce.com/search?what=&where=Eagle+Nest+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.yellowpages.com/maxwell-nm/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.yellowpagesdirectory.com/search?q=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.manta.com/search?search=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.merchantcircle.com/search?q=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.cylex.us.com/search/?q=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Maxwell,incorporated village,Maxwell NM,https://www.chamberofcommerce.com/search?what=&where=Maxwell+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.yellowpages.com/springer-nm,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,16,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Springer,incorporated town,Springer NM,https://www.yellowpagesdirectory.com/search?q=Springer+NM,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
