name,county_scope,channel_type,posting_route,public_facing_note,best_for,verification_status,source_url,notes
Visit Trinidad - Submit Your Event,"Las Animas County / Trinidad","Tourism event calendar","Online form","Submit visitor-relevant Trinidad events for review on the Visit Trinidad calendar.","Events open to visitors, festivals, arts events, downtown happenings","Official source checked","https://visittrinidadcolorado.com/resources-for-locals/submit-your-event/","Two-week lead time recommended; publication is discretionary."
Visit Trinidad - Tourism Marketing Request Form,"Las Animas County / Trinidad","Tourism marketing support","Online form","Request broader tourism support that may include the calendar, Colorado.com, Visit Trinidad social channels, PR sharing, or a blog post.","Larger campaigns, visitor-facing events, promotions, tourism news","Official source checked","https://visittrinidadcolorado.com/resources-for-locals/tourism-marketing-request-form/","Good high-value routing path, not just a calendar."
Trinidad & Las Animas County Chamber of Commerce,"Las Animas County / Trinidad","Chamber calendar / business network","Chamber calendar/contact or member route","Use the chamber calendar and business network for local business, member, and community events.","Business events, ribbon cuttings, networking, member promotions","Source-linked lead","https://tlacchamber.org/","Search results show events calendar; submission process needs direct confirmation."
CREATE Trinidad,"Las Animas County / Trinidad","Creative district / arts calendar","Contact route","Use for arts, culture, creative-sector events, and Space to Create / creative district visibility.","Gallery events, workshops, performances, creative entrepreneurship events","Source-linked lead","https://www.trinidadcreativedistrict.org/trinidad-creative-district-events","Page invites users to contact them about missing places/resources; formal event submission process needs confirmation."
World Journal,"Huerfano / Las Animas / Colfax regional","Newspaper events calendar","Email events.worldjournal@gmail.com","Send local events to the World Journal events desk for weekly regional event coverage consideration.","Community events, nonprofit events, arts/culture, public meetings, local announcements","Official source checked","https://worldjournalnewspaper.com/category/upcoming-events/","Footer lists event email and Monday 4pm deadline for stories/events/ads/classifieds."
Huerfano County Chamber of Commerce - Submit an Event,"Huerfano County","Chamber calendar","Online form","Submit Huerfano County events to the chamber calendar; chamber members have priority.","Business events, community events, fundraisers, networking, visitor-facing local events","Official source checked","https://www.chamber.huerfano.org/submit-an-event","Page asks users to allow up to five business days; urgent items can email lehl@huerfano.org."
Spanish Peaks Country - Submit an Event,"Huerfano County / Spanish Peaks Country","Tourism event calendar","Online form","Submit Huerfano-area events to the Spanish Peaks Country tourism calendar.","Visitor-facing events, festivals, markets, arts, outdoor events","Official source checked","https://spanishpeakscountry.com/spc-events/community/add/","Already in guide; keep as top Huerfano route."
Huerfano County Government Events,"Huerfano County","Public/civic calendar","Contact/verify route","Use for county meetings and civic/public events; verify whether non-county public events can be listed.","Public meetings, county community center events, civic notices","Source-linked lead","https://huerfano.us/events/","Calendar exists; submission path not clearly public."
Visit Angel Fire - List Your Event,"Colfax County / Angel Fire","Tourism event calendar","Online form","Submit Angel Fire events for review by the Village of Angel Fire tourism calendar.","Visitor-facing Angel Fire events, markets, resort-adjacent events, family activities","Official source checked","https://visitangelfirenm.com/list-your-event/","Submission does not guarantee inclusion."
Angel Fire Chamber - Event Schedule,"Colfax County / Angel Fire / Moreno Valley","Chamber master calendar","Email info@angelfirechamber.org","Email the Angel Fire Chamber to submit an event and check the master calendar before planning.","Angel Fire and Moreno Valley events, chamber/community events","Official source checked","https://www.angelfirenm.com/events/","Page lists Chamber and Visitor Center phone numbers and advises verifying dates."
