id,last_write,name,kind,duplicate_group_size,length,html_count,data_count,audio_count,animation_count,root_index,root_netlify,has_resources,has_funding,has_arts_culture,has_event_posting,has_sitemap,directory_rows,guide_rows,term_everything,term_localstash,term_event_posting,term_google,term_super_eukarya,path
1,2026-06-20T14:21:06,tri-county-netlify-upload.zip,deployable site zip,2,222355,1,0,0,0,True,True,False,False,False,False,False,,,0,0,0,27,7,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\review\attachments_20260620\tri-county-netlify-upload.zip"
2,2026-06-20T14:21:06,tri-county-netlify-upload.zip,deployable site zip,2,222355,1,0,0,0,True,True,False,False,False,False,False,,,0,0,0,27,7,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\review\attachments_verify_20260621\tri-county-netlify-upload.zip"
3,2026-06-20T14:21:06,super_eukarya_site_visuals_and_codex_notes.zip,visual/style asset package,2,11163,0,0,0,0,False,False,False,False,False,False,False,,,0,0,0,0,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\review\attachments_verify_20260621\super_eukarya_site_visuals_and_codex_notes.zip"
4,2026-06-20T14:21:06,super_eukarya_site_visuals_and_codex_notes.zip,visual/style asset package,2,11163,0,0,0,0,False,False,False,False,False,False,False,,,0,0,0,0,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\review\attachments_20260620\super_eukarya_site_visuals_and_codex_notes.zip"
5,2026-06-21T18:50:38,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1059114,13,10,0,5,True,True,False,False,False,True,False,,456,0,0,0,26,13,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-21_yucca-netlify\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
6,2026-06-22T01:11:58,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1089080,13,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,26,25,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-22_verified-process-netlify\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
7,2026-06-22T18:06:00,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1092692,13,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,30,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-22_stateline-cycle-tools\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
8,2026-06-22T18:59:51,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1094182,13,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,30,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-22_infographic-cursor\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
9,2026-06-22T19:51:07,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1099339,14,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,35,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-22_submit-routing-cursor\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
10,2026-06-22T20:26:55,Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip,deployable site zip,1,1108446,14,10,0,5,True,True,False,False,False,True,True,,456,0,0,0,36,0,"C:\Users\Alyxx and Niko\Documents\Northern New Mexico & Southern Colorado Tri-County Regional Marketing Guide For Businesses, Non-Profits, Entrepreneurs, and Artists\versions\Tri_County_Regional_Marketing_Guide_v2026-06-22_svg-ui-methodology\Tri_County_Regional_Marketing_Guide_Netlify_Deep.zip"
