name,county_scope,channel_type,posting_route,public_facing_note,best_for,verification_status,source_url,notes
Trinidad State College Arts and Culture Events Calendar,"Las Animas County / Trinidad","College arts and culture calendar","Online form","Submit arts and culture events for consideration on the Trinidad State College calendar.","Arts events, lectures, exhibits, performances, public/community partner events","Official source checked","https://trinidadstate.edu/arts/arts_and_culture_events.html","Page explicitly welcomes on-campus and off-campus arts/culture event submissions from community partners or public organizations."
Downtown Walsenburg Event Calendar,"Huerfano County / Walsenburg","Downtown community calendar","Online form / calendar page","Submit City of Walsenburg events to the downtown calendar when they are within the city boundary.","Downtown sales, yard sales, live music, gallery openings, Porchfest-related events","Official source checked","https://www.downtownwalsenburg.org/calendar","Page says approved events are limited to the City of Walsenburg and points other regional events to Spanish Peaks Country."
Bachman and Associates Weekly Community Calendar,"Huerfano County / La Veta / Cuchara / Gardner / Walsenburg","Weekly community calendar / email list","Email Events@BachmanAndAssociates.com","Email event details for possible inclusion in the local weekly event calendar.","Farmers markets, La Veta/Cuchara/Gardner/Walsenburg community events, recurring local happenings","Official source checked","https://www.discoverbachman.com/community-calendar/","Page says to email event information by Friday at noon and notes the website calendar updates monthly while the email list is weekly."
LiveTaos Event Calendar,"Northern New Mexico / Taos spillover / Angel Fire and nearby Colfax fit","Regional arts and entertainment calendar","Online form","Submit northern New Mexico arts, music, classes, and community events; accepted items also appear on Taos.org.","Angel Fire, Eagle Nest, Cimarron, Raton, or northern NM events with Taos/Enchanted Circle audience fit","Official source checked","https://livetaos.com/events/submit-an-event/","LiveTaos says approved events also appear on the Daily Events Calendar on Taos.org."
Taos.org Daily Events Calendar,"Northern New Mexico / Taos spillover","Regional tourism calendar","Via LiveTaos approval","Use as downstream visibility when a LiveTaos submission is accepted.","Northern New Mexico visitor-facing arts, music, classes, cultural events, and community celebrations","Official source checked","https://taos.org/events/calendar/","Taos.org itself describes the daily calendar; LiveTaos states accepted submissions appear there."
KCRT / KBKZ Radio,"Las Animas County / Trinidad plus Raton and Walsenburg signal area","Radio station / media contact","Email or phone contact","Contact KCRT/KBKZ for radio announcement, interview, or community visibility possibilities; verify current rates and public-service policies.","Trinidad, Raton, Walsenburg, southern Colorado and northern New Mexico events","Source-linked lead","https://www.kbkzradio.net/","Site lists KCRT/KBKZ contact info including kcrt@comcast.net and phone numbers; no open calendar form found."
KTLF Radio Network Community Calendar,"Southern Colorado regional","Radio community calendar","Online form","Submit family-friendly community events for possible calendar sharing with a Colorado Springs-based Christian radio audience.","Church events, fundraisers, family events, community concerts, conferences","Official source checked","https://ktlf.radio/community-calendar/","Broader southern Colorado reach; use only when audience fit makes sense."
La Veta Public Library Full Calendar,"Huerfano County / La Veta / Cuchara","Library/community calendar","Contact library / verify route","Use for La Veta library-hosted programs and partner events; contact the library before assuming outside events can be listed.","Library programs, town meetings, farmers market, local educational events","Source-linked lead","https://lvpl.org/full-calendar/","Calendar is active; public third-party submission route not found in this sweep."
Spanish Peaks Library District Events,"Huerfano County / Walsenburg / Gardner bookmobile","Library/community calendar","Contact library / verify route","Use for library-hosted or library-partnered events in Walsenburg and Huerfano County.","Library programs, book sales, public learning events, youth/family events","Source-linked lead","https://www.spld.org/events/","Calendar is active; public submission route not found in this sweep."
Trinidad Carnegie Public Library Events,"Las Animas County / Trinidad","Library/community calendar","Contact library / verify route","Use for library-hosted events and community programs; call or email before treating it as a general listing channel.","Library programs, youth/family events, community learning, local arts and history programs","Source-linked lead","https://trinidadpubliclibrary.org/events/","Calendar and contact are public; general event submission path not found."
