entry_id,name,aliases,county,town,state,category,entry_type,description,websites,emails,phones,addresses,source_urls,audiences,keywords,marketing_channels,notes_for_use,source_count,merged_from
everything-0001-1-week-out,1 week out,[],Regional,Regional,NM / CO,"Promotion Timeline, Automation, and Streamlining",Listing,"Professional or service business in Regional, Regional, NM / CO. Use it to find the public page, organization, office, or listing path that best matches the task.",[],[],[],['1 week out Post reminder to official social pages and community groups where allowed. Post “One week away” with practical details: parking'],[],"['Businesses', 'Nonprofits', 'Nonprofits and community programs']","['Promotion Timeline, Automation, and Streamlining', 'Resource', 'Start Something', 'Promote Something', 'Improve Online Visibility', 'Regional', 'outreach']",['Ask about digital listing or social sharing'],"Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0002-1-amplifiers,1. Amplifiers,[],Colfax,Raton,NM,Recommended outreach waves,Listing,"Recommended outreach waves in Raton, Colfax, NM. Use it to find the public page, organization, office, or listing path that best matches the task.",[],[],[],[],[],"['Businesses', 'Programs', 'Nonprofits and community programs']","['Recommended outreach waves', 'Resource', 'Start Something', 'Raton', 'Colfax', 'outreach']",['Use as a contact starting point'],"Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0003-111-park-espresso-bar-enchanted-grounds-espresso-bar,111 Park Espresso Bar / Enchanted Grounds Espresso Bar,"['111 Park Espresso Bar', 'Enchanted Grounds Espresso Bar']",Colfax,Raton,NM,Local listing to confirm,Listing,"Cafe or coffee stop in Raton, Colfax, NM. Use it to find the public page, organization, office, or listing path that best matches the task.",[],[],[],[],[],"['Businesses', 'Programs', 'Nonprofits and community programs', 'Local residents']","['Local listing to confirm', 'Resource', 'Start Something', 'Get Media Coverage', 'Add / Correct Info', 'Raton', 'Colfax', 'media', 'outreach']","['Ask about physical flyer or poster placement', 'Ask about media, newsletter, or calendar placement']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0004-2-weeks-out,2 weeks out,[],Regional,Regional,NM / CO,"Promotion Timeline, Automation, and Streamlining",Listing,"Professional or service business in Regional, Regional, NM / CO. Use it to ask about appropriate announcement, advertising, calendar, newsletter, or public-information routes.",[],[],[],[],[],"['Artists', 'Programs', 'Artists and creative businesses', 'Nonprofits and community programs']","['Promotion Timeline, Automation, and Streamlining', 'Media', 'Promote Something', 'Get Media Coverage', 'Track Results', 'Regional', 'artist', 'outreach']","['Ask about media, newsletter, or calendar placement', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0005-2-anchor-consumer-businesses,2. Anchor consumer businesses,[],Colfax,Raton,NM,Recommended outreach waves,Listing,"Recommended outreach waves in Raton, Colfax, NM. Use it to ask about appropriate announcement, advertising, calendar, newsletter, or public-information routes.",[],[],[],[],[],"['Artists', 'Businesses', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs']","['Recommended outreach waves', 'Promotion', 'Start Something', 'Promote Something', 'Reach People Offline', 'Improve Online Visibility', 'Raton', 'Colfax', 'artist', 'business', 'outreach', 'visitor']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0006-2026-get-lit-literary-festival-and-trinidad-art-festival,2026 GET LIT Literary Festival and Trinidad Art Festival,[],Las Animas,Trinidad,CO,"Writer, artist, festival, and sponsorship pathway",Listing,"Official 2026 GET LIT and Trinidad Art Festival page. Dates and application paths are event-specific; Check before sharing, applying, sponsoring, or promoting.",['https://www.trinidadcreativedistrict.org/copy-of-2025-get-lit-literary-festival'],[],[],[],['https://www.trinidadcreativedistrict.org/copy-of-2025-get-lit-literary-festival'],"['Artists', 'Creative businesses', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers']","['Writer, artist, festival, and sponsorship pathway', 'Creative event / artist opportunity', 'Improve Online Visibility', 'Add / Correct Info', 'Promote Something', 'Find Money or Help', 'Start Something', 'Track Results', 'Trinidad', 'Las Animas', 'artist', 'arts', 'business', 'creative business', 'creative district', 'event', 'visitor']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about business directory or partner referral', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0007-221b-gallery,221B Gallery,[],Las Animas,Trinidad,CO,Experimental / multi-disciplinary gallery,Listing,"Arts or creative business in Trinidad, Las Animas, CO. It is relevant for artist referrals, exhibitions, workshops, performances, cultural events, and creative cross-promotion inquiries.",['https://pug-okra-fbcs.squarespace.com'],[],[],"['221 Nona Ave, Trinidad, CO 81082']",['https://www.trinidadcreativedistrict.org/arts-in-the-trinidad-colorado-community'],"['Artists', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Experimental / multi-disciplinary gallery', 'Creative / Artist', 'Start Something', 'Promote Something', 'Get Media Coverage', 'Reach People Offline', 'Improve Online Visibility', 'Add / Correct Info', 'Trinidad', 'Las Animas', 'artist', 'arts', 'chamber', 'creative district', 'directory', 'gallery', 'maker', 'media', 'outreach', 'tourism', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about business directory or partner referral', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0008-2k-design,2K Design,[],Huerfano,Walsenburg,CO,Design / maker vendor,Listing,"Arts or creative business in Walsenburg, Huerfano, CO. It is relevant for artist referrals, exhibitions, workshops, performances, cultural events, and creative cross-promotion inquiries.",[],[],[],"['408 Russell Avenue, Walsenburg, CO 81089']",['https://www.walsenburgmercantile.com/meet-our-vendors'],"['Artists', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Design / maker vendor', 'Maker / Artist Vendor', 'Start Something', 'Promote Something', 'Get Media Coverage', 'Reach People Offline', 'Improve Online Visibility', 'Add / Correct Info', 'Walsenburg', 'Huerfano', 'artist', 'arts', 'business', 'directory', 'maker', 'media', 'outreach', 'venue', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0009-3-days-out,3 days out,[],Regional,Regional,NM / CO,"Promotion Timeline, Automation, and Streamlining",Listing,"Professional or service business in Regional, Regional, NM / CO. Use it to ask about appropriate announcement, advertising, calendar, newsletter, or public-information routes.",[],[],[],['3 days out Use neighborhood channels or marketplace-style posts only if appropriate and allowed. Reminder for a yard sale'],[],"['Entrepreneurs', 'Businesses', 'Nonprofits', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Promotion Timeline, Automation, and Streamlining', 'Training', 'Start Something', 'Promote Something', 'Find Money / Help', 'Track Results', 'Regional', 'market', 'outreach', 'service']",['Ask about physical flyer or poster placement'],"Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0010-3-4-weeks-out,3-4 weeks out,[],Regional,Regional,NM / CO,"Promotion Timeline, Automation, and Streamlining",Listing,"Professional or service business in Regional, Regional, NM / CO. Use it to ask about appropriate announcement, advertising, calendar, newsletter, or public-information routes.",[],[],[],[],[],"['Artists', 'Businesses', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Nonprofits and community programs']","['Promotion Timeline, Automation, and Streamlining', 'Promotion', 'Promote Something', 'Improve Online Visibility', 'Add / Correct Info', 'Regional', 'artist', 'outreach', 'visitor']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
