entry_id,name,aliases,county,town,state,category,entry_type,description,websites,emails,phones,addresses,source_urls,audiences,keywords,marketing_channels,notes_for_use,source_count,merged_from
everything-0001-111-park-espresso-bar,111 Park Espresso Bar,"['111 Park Espresso Bar / Enchanted Grounds Espresso Bar', 'Enchanted Grounds Espresso Bar']",Colfax,Raton,NM,Dining,Listing,"Cafe or coffee stop in Raton, Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",['https://www.facebook.com/111Park/'],[],[],[],"['https://www.exploreraton.com/eat', 'https://www.facebook.com/111Park/', 'https://www.yellowpages.com/raton-nm/business-listings/1']","['Artists', 'Creative businesses', 'Entrepreneurs', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Dining', 'Visitor-facing listing', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Raton', 'Colfax', 'artist', 'business', 'creative business', 'directory', 'event', 'flyer', 'outreach', 'tourism', 'visitor', 'Local listing to confirm', 'Resource', 'Get Media Coverage', 'media', 'unspecified']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about creative or cultural cross-promotion', 'Ask in person before leaving materials', 'Ask about a digital share or listing update', 'Ask about visitor-facing updates']","Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",3,"['guide resource directory', 'Explore Raton - Eat', 'commercial directory sweep']"
everything-0002-2026-get-lit-literary-festival-and-trinidad-art-festival,2026 GET LIT Literary Festival and Trinidad Art Festival,[],Las Animas,Trinidad,CO,"Writer, artist, festival, and sponsorship pathway",Listing,"Official 2026 GET LIT and Trinidad Art Festival page. Dates and application paths are event-specific; Check before sharing, applying, sponsoring, or promoting.",['https://www.trinidadcreativedistrict.org/copy-of-2025-get-lit-literary-festival'],[],[],[],['https://www.trinidadcreativedistrict.org/copy-of-2025-get-lit-literary-festival'],"['Artists', 'Arts and culture audiences', 'Creative businesses', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers']","['Writer, artist, festival, and sponsorship pathway', 'Creative event / artist opportunity', 'Add / Correct Info', 'Find Money or Help', 'Improve Online Visibility', 'Promote Something', 'Start Something', 'Track Results', 'Trinidad', 'Las Animas', 'artist', 'arts', 'business', 'creative business', 'creative district', 'event', 'visitor']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about business directory or partner referral', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0003-221b-gallery,221B Gallery,[],Las Animas,Trinidad,CO,Contemporary and hybrid media gallery; Experimental / multi-disciplinary gallery,Listing,"Creative-directory listings added from a public local arts, tourism, chamber, creative-district, or maker directory. Open the page and confirm current hours, contact route, listing status, submission path, and availability before outreach, spending, printing,...","['https://221bgallery.com/', 'https://pug-okra-fbcs.squarespace.com']",['221Bgallery@gmail.com'],['208-720-5578'],"['221 Nona Ave, Trinidad, CO 81082; Trinidad, CO']","['https://221bgallery.com/', 'https://www.trinidadcreativedistrict.org/arts-in-the-trinidad-colorado-community']","['Artists', 'Arts and culture audiences', 'Creative businesses', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Contemporary and hybrid media gallery', 'Experimental / multi-disciplinary gallery', 'Creative / Artist', 'Add / Correct Info', 'Get Media Coverage', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Trinidad', 'Las Animas', 'artist', 'arts', 'business', 'chamber', 'creative business', 'creative district', 'directory', 'gallery', 'maker', 'media', 'outreach', 'tourism', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about business directory or partner referral', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",2,['guide resource directory']
everything-0004-2k-design,2K Design,[],Huerfano,Walsenburg,CO,Design / maker vendor,Listing,"Arts or creative business in Walsenburg, Huerfano, CO. It is relevant for artist referrals, exhibitions, workshops, performances, cultural events, and creative cross-promotion inquiries.",[],[],[],"['408 Russell Avenue, Walsenburg, CO 81089']",['https://www.walsenburgmercantile.com/meet-our-vendors'],"['Artists', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers']","['Design / maker vendor', 'Maker / Artist Vendor', 'Add / Correct Info', 'Get Media Coverage', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'artist', 'arts', 'business', 'creative business', 'directory', 'event', 'maker', 'media', 'venue', 'visitor', 'workshop']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0005-38-special,38 Special,[],Huerfano,Walsenburg,CO,Local business listing,Listing,"Visitor or recreation route in Walsenburg, Huerfano, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/walsenburg-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0006-3rd-times-a-charm,3rd Times A Charm,[],Huerfano,Walsenburg,CO,Maker vendor,Listing,"Arts or creative business in Walsenburg, Huerfano, CO. It can help users find storefront or vendor contacts for shop-local outreach, event materials, visitor referrals, or local-goods partnerships.",[],[],[],"['408 Russell Avenue, Walsenburg, CO 81089']",['https://www.walsenburgmercantile.com/meet-our-vendors'],"['Artists', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Maker vendor', 'Maker / Artist Vendor', 'Add / Correct Info', 'Get Media Coverage', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'artist', 'arts', 'business', 'creative business', 'directory', 'event', 'maker', 'media', 'outreach', 'partner', 'venue', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0007-7-eleven,7-Eleven,[],Huerfano,Walsenburg,CO,Local business listing,Listing,"Visitor or recreation route in Walsenburg, Huerfano, CO. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/walsenburg-co/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0008-719-tines,719 Tines,[],Huerfano,Walsenburg,CO,Local maker / vendor,Listing,"Arts or creative business in Walsenburg, Huerfano, CO. It can help users find storefront or vendor contacts for shop-local outreach, event materials, visitor referrals, or local-goods partnerships.",[],[],[],"['408 Russell Avenue, Walsenburg, CO 81089']",['https://www.walsenburgmercantile.com/meet-our-vendors'],"['Artists', 'Arts and culture audiences', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Local maker / vendor', 'Maker / Artist Vendor', 'Add / Correct Info', 'Get Media Coverage', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'artist', 'arts', 'business', 'creative business', 'directory', 'event', 'maker', 'media', 'outreach', 'partner', 'venue', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Ask about creative or cultural cross-promotion']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0009-87-express,87 Express,[],Colfax,Raton,NM,Local business listing,Listing,"Visitor or recreation route in Raton, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/raton-nm/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Raton', 'Colfax', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about media, newsletter, or calendar placement', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0010-a-m-repair-co,A & M Repair Co,[],Colfax,Raton,NM,Local business listing,Listing,"Visitor or recreation route in Raton, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/raton-nm/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Raton', 'Colfax', 'business', 'directory', 'event', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask in person before leaving materials']","Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",1,"['guide resource directory', 'commercial directory sweep']"
everything-0011-a-cut-above,A Cut Above,[],Colfax,Raton,NM,Local business listing,Listing,"Visitor or recreation route in Raton, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/raton-nm/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Raton', 'Colfax', 'business', 'directory', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Confirm manager or owner permission first']",Call or visit once to confirm whether the location is public-facing and accepts community materials.,1,"['guide resource directory', 'commercial directory sweep']"
everything-0012-a-j-martinez-company,A J Martinez & Company,[],Colfax,Angel Fire,NM,Local business listing,Listing,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",[],[],[],[],['https://www.yellowpages.com/angel-fire-nm/business-listings/1'],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Event organizers', 'Local residents']","['Local business listing', 'Local resource', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Angel Fire', 'Colfax', 'business', 'directory', 'event', 'flyer', 'outreach', 'visitor', 'unspecified']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask in person before leaving materials', 'Ask about a digital share or listing update']","Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",1,"['guide resource directory', 'commercial directory sweep']"
everything-0013-a-taylor-made-haircut,A Taylor Made Haircut,[],Huerfano,La Veta,CO,Service / personal care,Listing,"Lodging or hospitality business in La Veta, Huerfano, CO. Use it to find the public page, organization, office, or listing path that best matches the task.",[],[],['(719) 742-3289'],['313 W. Ryus Ave'],[],"['Businesses', 'Programs', 'Visitors and tourists', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Service / personal care', 'Resource', 'Add / Correct Info', 'Improve Online Visibility', 'Reach People Offline', 'Start Something', 'La Veta', 'Huerfano', 'business', 'lodging', 'service', 'visitor']","['Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",1,['guide resource directory']
everything-0014-a-w,A&W,[],Huerfano,Walsenburg,CO,Walsenburg Dining,Listing,"Public travel or tourism listing. Check current details with the listed page or business before outreach, publication, printing, or promising placement.","['https://awrestaurants.com/locations/colorado/walsenburg/455-us-highway-85', 'https://spanishpeakscountry.com/business-directory/listing/aw']",[],[],"['455 US-85, Walsenburg, CO 81089']","['https://spanishpeakscountry.com/business-directory/categories/dining', 'https://spanishpeakscountry.com/business-directory/listing/aw']","['Artists', 'Creative businesses', 'Entrepreneurs', 'Businesses', 'Nonprofits', 'Programs', 'Visitors and tourists', 'Artists and creative businesses', 'Businesses and entrepreneurs', 'Nonprofits and community programs', 'Local residents']","['Walsenburg Dining', 'Visitor-facing listing', 'Add / Correct Info', 'Improve Online Visibility', 'Promote Something', 'Reach People Offline', 'Start Something', 'Walsenburg', 'Huerfano', 'artist', 'business', 'creative business', 'dining', 'directory', 'outreach', 'restaurant', 'tourism', 'visitor']","['Ask about physical flyer or poster placement', 'Ask about digital listing or social sharing', 'Ask about event calendar or visitor listing', 'Ask about business directory or partner referral', 'Ask about creative or cultural cross-promotion', 'Ask about visitor-facing updates']","Check current details with the listed source or organization before spending money, printing materials, or promising placement.",2,"['guide resource directory', 'Spanish Peaks Country - Dining']"
