name,county_scope,channel_type,posting_route,public_facing_note,best_for,verification_status,source_url,notes
Angel Fire Resort Events Calendar,Colfax County / Angel Fire,Resort / venue event calendar,Venue or resort contact / hosted-event route,"Use when an event is hosted by, ticketed through, or directly connected to Angel Fire Resort or resort-adjacent visitor traffic.","Resort events, live music at resort venues, recreation clinics, visitor-facing activities",Official source checked,https://www.angelfireresort.com/events/,Venue calendar; not a general community bulletin board.
Village of Angel Fire Events Calendar,Colfax County / Angel Fire,Municipal events calendar,Contact village / verify calendar route,"Use for Village of Angel Fire events, parks and recreation items, meetings, and local civic calendars.","Village events, parks and recreation events, civic/community calendars",Official source checked,https://www.angelfirenm.gov/252/Events-Calendar,Public calendar exists; submission route should be confirmed with village staff.
Visit Angel Fire - List Your Event,Colfax County / Angel Fire,Tourism event calendar,Online form,Submit Angel Fire events for review by the Village of Angel Fire tourism calendar.,"Visitor-facing Angel Fire events, markets, resort-adjacent events, family activities",Official source checked,https://visitangelfirenm.com/list-your-event/,Submission does not guarantee inclusion.
Angel Fire Chamber - Event Schedule,Colfax County / Angel Fire / Moreno Valley,Chamber master calendar,Email info@angelfirechamber.org,Email the Angel Fire Chamber to submit an event and check the master calendar before planning.,"Angel Fire and Moreno Valley events, chamber/community events",Official source checked,https://www.angelfirenm.com/events/,Page lists Chamber and Visitor Center phone numbers and advises verifying dates.
Angel Fire Chamber Event Calendar,Colfax County / Angel Fire / Moreno Valley,Chamber calendar,Calendar/contact route,Use as the Angel Fire master calendar and visibility check before scheduling regional events.,"Scheduling checks, chamber events, visitor-facing Moreno Valley events",Source-linked lead,https://angelfirechamber.org/events/,Formal add-event path appears through chamber email and Visit Angel Fire form.
Cimarron Chamber of Commerce Calendar of Events,Colfax County / Cimarron,Chamber calendar / community route,Contact chamber / verify calendar route,"Use for Cimarron-area events, parades, rodeo, heritage programming, and community happenings. Confirm the current submission path before promising placement.","Cimarron events, small-town festivals, western heritage events, school/community notices",Needs manual verification,https://www.cimarronnm.com/,Search result identifies official Chamber site and calendar; direct fetch returned 502 during this sweep.
Cimarron Chamber of Commerce Facebook,Colfax County / Cimarron,Chamber social page,Message or tag chamber / verify current admin route,"Use as a Cimarron event-signal route when the event is local, chamber-adjacent, or community-facing.","Cimarron community events, parade notices, local festival updates",Source-linked lead,https://www.facebook.com/CimarronNM/,Use after creating a public event page or flyer; do not assume resharing.
Colfax County Area Resources,Colfax County / countywide,County resource and referral page,Use to identify local chambers and municipal contacts,"Use as a countywide starting map when an event belongs outside Raton or Angel Fire and needs the right local office, chamber, or tourism contact.","Countywide contact routing, smaller community referrals, municipal or chamber lookup",Official source checked,https://www.co.colfax.nm.us/government/area_resources.php,Not an event submission form; useful for routing to the right local contact.
Eagle Nest Chamber of Commerce,Colfax County / Eagle Nest,Chamber tourism and events route,Contact chamber / verify calendar route,"Use for Eagle Nest visitor-facing events, lake events, arts festivals, and Moreno Valley tourism cross-promotion.","Eagle Nest festivals, lake events, arts markets, visitor-facing activities",Official source checked,https://www.eaglenestchamber.org/,Official chamber site presents Eagle Nest events context; direct submission path should be confirmed.
City of Raton Community Events,Colfax County / Raton,Municipal events calendar,Contact/verify route,Use for city-recognized community events and official local calendar visibility.,"Civic events, public events, city-linked celebrations",Source-linked lead,https://www.ratonnm.gov/calendar.php,Calendar exists; public submission process needs confirmation.
Explore Raton Events,Colfax County / Raton,Tourism/event page,Contact/verify route,Use as a visitor-facing Raton event page and tourism context route.,"Major Raton festivals, visitor-facing community events, downtown activities",Source-linked lead,https://www.exploreraton.com/events,Events page exists; formal submission path not found in this sweep.
Gate City Music Festival Vendor Route,Colfax County / Raton,Festival vendor opportunity,Online or printable vendor application,"Use when a vendor, food business, artisan, or service provider wants to participate in the Gate City Music Festival.","Vendors, artists, food/service businesses, festival booth outreach",Official source checked,https://www.gatecitymusicfestival.com/,Site lists vendor information and 2026 vendor application routes.
Raton Arts and Humanities Council / Old Pass Gallery,Colfax County / Raton,Arts calendar / gallery route,Contact / Facebook / visual arts calendar,"Use for visual arts calendar, gallery programming, and local arts visibility in Raton.","Artists, gallery shows, openings, arts education, Raton creative events",Source-linked lead,https://www.ratonarts.org/,Site shows a visual arts calendar image and gallery role; submission process needs direct confirmation.
Raton MainStreet Events,Colfax County / Raton,MainStreet event calendar / organizer,Contact route,Use for downtown Raton signature events and MainStreet-linked visibility; verify submission or partnership route with Raton MainStreet.,"Downtown festivals, First Street events, volunteer calls, vendor opportunities",Source-linked lead,https://ratonmainstreet.org/event-location/historic-1st-street/,Calendar exists and lists events; open event submission path not found.
KRTN Enchanted Air Radio Calendar,Colfax County / Raton plus regional,Radio / community calendar,Contact station / verify route,Use as a Colfax-area community calendar and radio visibility lead; verify the current submission contact before promising posting.,"Raton, Cimarron, Maxwell, Springer, and cross-border community events",Source-linked lead,https://krtnradio.com/wp/calendar/,Calendar is active; direct submission path not located in this sweep.
Springer Chamber of Commerce Facebook,Colfax County / Springer,Chamber social page,Message or tag chamber / verify current admin route,Use for Springer-area events and business-community notices when no stronger public calendar route is available.,"Springer events, business notices, community activities",Source-linked lead,https://www.facebook.com/SpringerChamber/,"Treat as a social-contact lead, not guaranteed event publication."
Colorado Tourism Partner Registration,Colorado counties only,State tourism listing,Online partner registration,Create a free Colorado.com tourism partner listing for eligible tourism-related businesses/events with physical Colorado addresses.,Tourism-related Colorado businesses/events needing statewide discovery,Official source checked,https://www.colorado.com/partner-registration,Physical Colorado address and tourism relevance required.
Colorado.com Event or Business Listing,Colorado counties only,State tourism listing,Partner registration / extranet,Submit or update tourism-related event and business listings through Colorado Tourism Office routes.,"Visitor-facing Colorado events, tourism businesses, festivals, attractions",Official source checked,https://www.colorado.com/contact-us/prescreen,Colorado.com links to submit/update event or business listings.
Do303,Colorado statewide / Denver-Boulder audience,Entertainment event platform,Add event / email cm@do303.com,"Use for music, nightlife, arts, or unusual events with enough pull for a Front Range audience.","Music, nightlife, festivals, ticketed arts/culture events",Official source checked,https://do303.com/p/about-do303,Broader Colorado platform; only use when the event reasonably belongs there.
OnStage Colorado Submit Event,Colorado statewide / performing arts,Performing arts calendar,Online form / info@onstagecolorado.com follow-up,"Use for theatre, dance, music, and performing arts events in the Colorado counties when the event has statewide arts-calendar fit.","Theatre, dance, music, performing arts events in Las Animas or Huerfano counties",Official source checked,https://onstagecolorado.com/submit-event/,Broader Colorado arts route; use selectively.
World Journal,Huerfano / Las Animas / Colfax regional,Newspaper events calendar,Email events.worldjournal@gmail.com,Send local events to the World Journal events desk for weekly regional event coverage consideration.,"Community events, nonprofit events, arts/culture, public meetings, local announcements",Official source checked,https://worldjournalnewspaper.com/category/upcoming-events/,Footer lists event email and Monday 4pm deadline for stories/events/ads/classifieds.
Huerfano County Chamber of Commerce - Submit an Event,Huerfano County,Chamber calendar,Online form,Submit Huerfano County events to the chamber calendar; chamber members have priority.,"Business events, community events, fundraisers, networking, visitor-facing local events",Official source checked,https://www.chamber.huerfano.org/submit-an-event,Page asks users to allow up to five business days; urgent items can email lehl@huerfano.org.
Huerfano County Events Facebook Group,Huerfano County,Social community group,Facebook group post,Post or request approval for Huerfano County community events after checking group rules.,"Community events, markets, concerts, family activities, openings",Source-linked lead,https://www.facebook.com/groups/261969198660237/,Search result says group is open for community event posts; rules/admin approval need verification.
Huerfano County Government Events,Huerfano County,Public/civic calendar,Contact/verify route,Use for county meetings and civic/public events; verify whether non-county public events can be listed.,"Public meetings, county community center events, civic notices",Source-linked lead,https://huerfano.us/events/,Calendar exists; submission path not clearly public.
Huerfano Community Bulletin Board,Huerfano County / countywide,Social community bulletin group,Facebook group post,"Use for local community visibility after the event has a clear flyer or public event page, especially for resident-facing notices.","Local events, resident notices, community fundraisers, informal local reminders",Source-linked lead,https://www.facebook.com/groups/huerfano/,Follow group rules; social posts are not formal public notice.
Huerfano County Tourism Board Calendar,Huerfano County / countywide,County tourism-board calendar,County/tourism board contact / verify route,Use for Huerfano tourism-board meetings and tourism-facing coordination; confirm whether a public event belongs on the tourism calendar before submitting.,"Tourism coordination, countywide visitor-facing planning, HCTB meetings",Official source checked,https://huerfano.us/events/category/boards-and-commissions/hctb/summary/?hide_subsequent_recurrences=1&tribe-bar-date=2026-06-27,Official county calendar category.
Cuchara Foundation Facebook,Huerfano County / Cuchara,Community organization social page,Message/tag organization / verify current route,"Use for Cuchara-area community programming, recreation, foundation, and seasonal event signals when the event is locally relevant.","Cuchara events, mountain-community programming, seasonal recreation notices",Source-linked lead,https://www.facebook.com/p/Cuchara-Foundation-100064993141806/,Social page; confirm active admin and sharing policy.
Cuchara Mountain Park Event Calendar,Huerfano County / Cuchara,Outdoor recreation venue calendar,Contact / event page,Use for events hosted at Cuchara Mountain Park or partner outdoor recreation events.,"Outdoor recreation, fundraisers, races, family activities, nonprofit events",Source-linked lead,https://cucharamountainpark.org/pages/event-calendar,Calendar exists; submission route needs direct confirmation.
Gardner and Upper Huerfano Community Bulletin,Huerfano County / Gardner and Upper Huerfano,Social community bulletin group,Facebook group post,"Use for Gardner, Upper Huerfano, and nearby rural notices when the audience is local and the post follows group rules.","Gardner events, upper valley notices, rural community updates",Source-linked lead,https://www.facebook.com/groups/1045332133134190/,Useful for rural reach; verify group rules and admin approval.
Estelle Center for Creative Arts Community Events,Huerfano County / La Veta,Creative workshop / venue calendar,Venue contact / newsletter route,"Use for events hosted by or partnered with Estelle Center, especially workshops, retreats, and creative-learning programs.","Creative workshops, retreats, artist programs, La Veta arts visitors",Official source checked,https://estellecreativearts.com/laveta-colorado-community-events,Hosted/partner venue route; verify fit before asking for listing.
Francisco Center for the Performing Arts,Huerfano County / La Veta,Performing arts venue booking,Booking form / theater manager email,Book or coordinate theatre events through the FCPA route.,"Performances, community theatre, music, lectures, nonprofit events",Official source checked,https://www.fcpalaveta.org/bookthetheater,Page gives booking instructions and theater@fcpalaveta.org.
Francisco Fort Museum Events Calendar,Huerfano County / La Veta,Museum/community event calendar,Contact / partner route,Use for museum-hosted and partner heritage events in La Veta.,"History, heritage, museum events, family cultural programs, local festivals",Source-linked lead,https://www.franciscofort.org/events-calendar,Calendar exists; public open submission route not found.
La Veta Creative District,Huerfano County / La Veta,Creative district calendar / contact route,Contact info@lavetacreativedistrict.org,"Use for La Veta arts, festivals, performing arts, and creative-district visibility.","Arts festivals, performing arts, gallery events, creative-district partner events",Source-linked lead,https://www.lavetacreativedistrict.org/festivals-and-signature-events,Site lists festivals/signature events and contact info; open submission path not found.
La Veta Creative District Facebook,Huerfano County / La Veta,Creative district social page,Message/tag district / verify current route,"Use for La Veta creative events, gallery openings, festival updates, and arts-community signals after checking the official district routes.","La Veta arts events, creative district updates, cultural festivals",Source-linked lead,https://www.facebook.com/lavetacreativedistrict/,Social page; do not assume sharing or endorsement.
La Veta Mercantile Events,Huerfano County / La Veta,Music/event venue calendar,Venue contact / ticketing calendar,Use for events hosted at La Veta Mercantile and for cross-promotion around booked shows.,"Concerts, talks, ticketed events, local music, visiting performers",Source-linked lead,https://lavetamercantile.simpletix.com/,Active ticketing calendar; submission/booking path should be confirmed directly.
Spanish Peaks Arts Council Art in the Park,Huerfano County / La Veta,Arts festival vendor route,Vendor ticketing / SPACe contact route,"Use for artist, maker, food, and vendor participation in Art in the Park and related La Veta arts traffic.","Artists, makers, vendors, La Veta arts festival visibility",Official source checked,https://spanishpeaksarts.org/art-in-the-park/,"Festival-specific route, not a general calendar."
La Veta Public Library Full Calendar,Huerfano County / La Veta / Cuchara,Library/community calendar,Contact library / verify route,Use for La Veta library-hosted programs and partner events; contact the library before assuming outside events can be listed.,"Library programs, town meetings, farmers market, local educational events",Source-linked lead,https://lvpl.org/full-calendar/,Calendar is active; public third-party submission route not found in this sweep.
Bachman and Associates Weekly Community Calendar,Huerfano County / La Veta / Cuchara / Gardner / Walsenburg,Weekly community calendar / email list,Email Events@BachmanAndAssociates.com,Email event details for possible inclusion in the local weekly event calendar.,"Farmers markets, La Veta/Cuchara/Gardner/Walsenburg community events, recurring local happenings",Official source checked,https://www.discoverbachman.com/community-calendar/,Page says to email event information by Friday at noon and notes the website calendar updates monthly while the email list is weekly.
Spanish Peaks Country - Submit an Event,Huerfano County / Spanish Peaks Country,Tourism event calendar,Online form,Submit Huerfano-area events to the Spanish Peaks Country tourism calendar.,"Visitor-facing events, festivals, markets, arts, outdoor events",Official source checked,https://spanishpeakscountry.com/spc-events/community/add/,Already in guide; keep as top Huerfano route.
Downtown Walsenburg Event Calendar,Huerfano County / Walsenburg,Downtown community calendar,Online form / calendar page,Submit City of Walsenburg events to the downtown calendar when they are within the city boundary.,"Downtown sales, yard sales, live music, gallery openings, Porchfest-related events",Official source checked,https://www.downtownwalsenburg.org/calendar,Page says approved events are limited to the City of Walsenburg and points other regional events to Spanish Peaks Country.
Fox Theatre Walsenburg,Huerfano County / Walsenburg,Arts venue / theatre,Contact route,Use for arts and cultural activities hosted by Fox Theatre Walsenburg; verify booking or promotional route directly.,"Film, theatre, arts, cultural activities, nonprofit or community programming",Source-linked lead,https://www.colorado.com/walsenburg/fox-theatre-walsenburg,Colorado.com listing gives contact details; open event submission path not found.
Spanish Peaks Library District Events,Huerfano County / Walsenburg / Gardner bookmobile,Library/community calendar,Contact library / verify route,Use for library-hosted or library-partnered events in Walsenburg and Huerfano County.,"Library programs, book sales, public learning events, youth/family events",Source-linked lead,https://www.spld.org/events/,Calendar is active; public submission route not found in this sweep.
CSU Extension Las Animas County Events,Las Animas County / countywide,Extension event calendar,Extension contact / program route,"Use for Extension-related agriculture, 4-H, family, community education, and county fair events.","4-H, agriculture, county fair, classes, Extension programs",Official source checked,https://extension.colostate.edu/las-animas/events/,Official CSU Extension page for Las Animas County events.
A.R. Mitchell Museum of Western Art,Las Animas County / Trinidad,Museum event calendar / venue hosting,Contact / event hosting page,"Use for art openings, museum-hosted events, lectures, and possible venue-hosted arts events.","Arts events, gallery openings, lectures, nonprofit event hosting",Official source checked,https://armitchellmuseum.com/events,"Event calendar and event hosting pages are public; posting applies to museum/hosted events, not general listings."
