id,resource_name,category,town,county,state,website,contact_email,contact_phone,physical_address,source_url,source_type,last_verified_date,notes,needs_follow_up,resource_type,audience_served,cost_level,access_mode,goal_relevance,has_public_source,travel_listing_sources,best_for,description,source_status,verification_status,yellowpages_outreach_score,yellowpages_flyer_likelihood,yellowpages_digital_distribution_likelihood,yellowpages_recommended_action,yellowpages_policy_risk,yellowpages_review_reason,yellowpages_end_user_warning,directory_sweep_source_file,yellowpages_verification_status
the-candy-crate-colfax-retail-sweets,The Candy Crate,Retail / sweets,,Colfax,NM,,,,,,Unknown,,"Shop or local retail business in Colfax, NM. It can help users find storefront or vendor contacts for shop-local outreach, event materials, visitor referrals, or local-goods partnerships.",true,Promotion,For-Profit; Program; Visitors / tourists; Youth / families,Paid / commercial or permission-based,Physical,Improve Online Visibility; Promote Something; Start Something,False,,"Shop or local retail business in Colfax, NM. It can help users find storefront or vendor contacts for shop-local outreach, event materials, visitor referrals, or local-goods partnerships.","Shop or local retail business in Colfax, NM. It can help users find storefront or vendor contacts for shop-local outreach, event materials, visitor referrals, or local-goods partnerships.",,,,,,,,,,,
capo-s-colfax-food-beverage,Capo's,Food & beverage,,Colfax,NM,,,,,,Unknown,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,For-Profit; Program; Visitors / tourists,Unknown / verify,Physical,Improve Online Visibility; Promote Something; Start Something,False,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
dairy-bar-colfax-food-beverage,Dairy Bar,Food & beverage,,Colfax,NM,,,,,,Unknown,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,For-Profit; Program; Visitors / tourists; Youth / families,Unknown / verify,Physical,Improve Online Visibility; Promote Something; Start Something,False,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
der-markt-food-store-colfax-retail-grocery,Der Markt Food Store,Retail / grocery,,Colfax,NM,,,,,,Unknown,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,For-Profit; Program; Visitors / tourists,Paid / commercial or permission-based,Physical,Improve Online Visibility; Promote Something; Start Something,False,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
noisy-water-winery-and-cellars-colfax-food-beverage,Noisy Water Winery and Cellars,Food & beverage,,Colfax,NM,,,,,,Unknown,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,For-Profit; Program; Visitors / tourists,Unknown / verify,Physical,Improve Online Visibility; Promote Something; Start Something,False,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
red-river-colfax-ski-lodging-nightly-rental-restaurant-retail-and-recrea,Red River,"Ski, lodging, nightly rental, restaurant, retail, and recreation corridor.",,Colfax,NM,,,,,,Unknown,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,For-Profit; Program; Visitors / tourists,Paid / commercial or permission-based,Unknown,Improve Online Visibility; Promote Something; Start Something,False,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
red-river-brewing-company-distillery-colfax-food-beverage,Red River Brewing Company & Distillery,Food & beverage,,Colfax,NM,https://redriverbrewing.com,,(575) 754-4422,217 W Main St,https://redriverbrewing.com,Government website,2026-06-19,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",false,Promotion,For-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Improve Online Visibility; Promote Something; Start Something,True,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
red-river-distillery-tasting-room-colfax-food-beverage,Red River Distillery Tasting Room,Food & beverage,,Colfax,NM,https://redriverbrewing.com,,(575) 754-5123,619 E. Main St,https://redriverbrewing.com,Government website,2026-06-19,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",false,Promotion,For-Profit; Program; Visitors / tourists,Unknown / verify,Online + Physical,Improve Online Visibility; Promote Something; Start Something,True,,"Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Restaurant or dining business in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
texas-reds-steakhouse-colfax-food-beverage,Texas Reds Steakhouse,Food & beverage,,Colfax,NM,,,,,,Unknown,,"Cafe or coffee stop in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",true,Promotion,For-Profit; Program; Visitors / tourists,Unknown / verify,Physical,Improve Online Visibility; Promote Something; Start Something,False,,"Cafe or coffee stop in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.","Cafe or coffee stop in Colfax, NM. It is useful for visitor referrals, local event outreach, shop-local campaigns, and cross-promotion questions that fit the business.",,,,,,,,,,,
yellowpages-lead-a-j-martinez-company-angel-fire-colfax,A J Martinez & Company,Commercial directory lead / local business,Angel Fire,Colfax,NM,,,,,https://www.yellowpages.com/angel-fire-nm/business-listings/1,YellowPages.com bulk listing page (commercial-directory lead),2026-07-01,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",true,Local resource,For-Profit; Program; Visitors / tourists,Unknown / verify,Online lead,Add / Correct Info; Improve Online Visibility; Promote Something; Reach People Offline; Start Something,True,,"Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.","Visitor or recreation route in Angel Fire, Colfax, NM. Use it to find existing public listings, visitor pages, and organization contacts before creating a new outreach list.",Needs manual verification,Needs manual verification,5,High: likely local flyer-friendly,Medium,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,tri_county_yellowpages_flyer_digital_outreach_scored.csv,
