listing_name,category,subcategory,town_area,county,state,source_name,source_type,source_url,listing_url,website,phone,email,address,description,extraction_method,source_status,verification_note,date_checked
Allen Fields Sports Complex,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/allen-fields-sports-complex/,,,,"30 Camino Grande,, Angel Fire, NM 87710, USA",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Alpine Lumber Company,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/alpine-lumber-company/,,,,"3433 NM-434,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Community Center,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fire-community-center/,,,,"15 CS Ranch Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Ebikes LLC,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fire-ebikes-llc/,,,,"PO box 1091, Angel Fire, New Mexico 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Homes,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fire-homes/,,,,"3400 Mountain View,, NM-434 Suite D,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Resort,Activities/Recreation; All tourism directory listings; Dining; Shopping,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Dining; Visit Angel Fire - Shopping,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/activities-recreation/; https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://angelfirechamber.org/business/hotels-motels-lodges/; https://visitangelfirenm.com/listing/angel-fire-resort/,https://angelfirechamber.org/business/hotels-motels-lodges/,,,"10 Miller Ln, Angel Fire, NM 87710","Angel Fire Resort is a year-round mountain resort nestled into the Southern Rocky Mountains of northern New Mexico, 23 miles from Taos. We offer excellent skiing, golf, tennis, hiking, fishing, mountain biking, hiking, scenery, and outdoor wildlife opportunities. With over 2000 vertical feet, served by six lifts, three terrain parks, night skiing, and a tubing hill. Angel Fire Resort is Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Resort Hotel & Conference Center,Conference Center,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/conference-center/,https://angelfirechamber.org/business/angel-fire-resort-2/,https://angelfirechamber.org/business/angel-fire-resort-2/,,,,Let our professional meeting and banquet staff tailor an event to meet your specific needs 10 Miller Lane near the end of North Angel Fire Road at the base of the ski mountain. Read more...,chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Resort Nordic & Golf Center,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fire-resort-nordic-center-golf-course/,,,,"100 Country Club Dr,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Resort Vacation Rentals,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fire-resort-vacation-rentals/,,,,"Angel Fire Resort, 10 Miller Lane,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire RV Resort,Accommodations/Lodging; All tourism directory listings; RV Parks & Campgrounds,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/accommodations-lodging/; https://angelfirechamber.org/business/category/campgrounds-rv-parks/; https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://angelfirechamber.org/business/angel-fire-rv-resort/; https://visitangelfirenm.com/listing/angel-fire-rv-resort/,https://angelfirechamber.org/business/angel-fire-rv-resort/,,,"27500 US Highway 64 Angel Fire, NM 87710","The new 35-acre Luxury RV Resort is open for business. Available now are paved roads, over-sized pull through spaces, bathrooms, showers, DirecTV, WiFi, and awesome views. Soon to be included are a private clubhouse, laundry facilities, fire pits, hot tub, putting green, pickle ball courts, and a dog park. Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fire Visitor Center,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fire-visitors-center/,,,,"3367 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel Fired Pizza,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angel-fired-pizza/,,,,"3375 Mountain View Blvd. Suite H, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Angel’s Outback Adventure,Activities/Recreation; Sports Equipment (Sales & Rentals),,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/activities-recreation/; https://angelfirechamber.org/business/category/sports-equipment-rentals/,https://angelfirechamber.org/business/angels-outback-adventure/,https://angelfirechamber.org/business/angels-outback-adventure/,,,,"OHV Rentals & More Experience the thrill of off-road adventure with our top-quality Can-AM side-by-side OHV rentals at Angels Outback Adventures. Conquer rugged trails, navigate challenging terrain, and immerse yourself in breathtaking landscapes. Perfect for all skill levels, unleash your sense of adventure today! Rental Locations: Village of Angel Fire Carson National Forest on FR76 Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
"Angel’s Outback Adventures, LLC",All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/angels-outback-adventures-llc/,,,,"3377 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Arias Taqueria Food Truck,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/arias-taqueria-food-truck/,,,,"3429 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Art Up Northern New Mexico,Artists/Galleries/Studios,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/artists-galleries-studios/,https://angelfirechamber.org/business/art-up-northern-new-mexico/,https://angelfirechamber.org/business/art-up-northern-new-mexico/,,,,"Art Up Northern New Mexico is a not-for-profit 501(c)3 membership organization committed to promoting the arts. We are governed by a volunteer Board of Directors and depend upon multiple volunteers throughout the year to make our programs and events successful. We are financially supported by grants, membership dues, ticket/booth and show fees and donations. These funds provide for promotions, programs, Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
